city,lat,long
Rozdilna,46.8524998,30.0742605
Horodok,49.7831792,23.6479323
Chervonopartyzansk,48.07617,39.7736
Ilovaisk,47.92423265,38.1947571470819
Berezhany,49.44503025,24.9367968044297
Novohrodivka,48.2119295,37.3321631184377
Vuhledar,47.7801865,37.2481736505647
Berezan,50.3132713,31.4689158
Putyvl,51.3359821,33.8715451
Bolhrad,45.6909766,28.608542
Bar,48.4088704,7.4492808
Svaliava,48.5460735,22.9895489
Bohuslav,49.54765,30.8733
Huliaipole,47.6655382,36.2656849
Zmiiv,49.7029344,36.3624539
Ovruch,51.3259771,28.8026718
Ochakiv,46.6153998,31.5457415
Krasnohorivka,48.00570705,37.5175364438877
Kivertsi,50.8340326,25.4653557
Pyriatyn,50.2361111,32.5011111
Mykolaivka,49.027519,34.319229
Chasiv Yar,48.5731042,37.8320387185188
Vilniansk,47.9433,35.43159
Dunaivtsi,48.886649,26.8476798
Apostolove,47.6604523,33.7089746
Talne,48.8885082,30.6974101
Artsyz,45.99632,29.43169
Novyi Buh,47.6933814,32.5106596
Tulchyn,48.6730485,28.8569476
Haivoron,48.336504,29.8675272
Horodok,49.7831792,23.6479323
Hola Prystan,46.52563345,32.5309496098051
Nosivka,50.9377744,31.5812258
Zhashkiv,49.2461642,30.1019237
Horodysche,49.2906591,31.4444985
Vasylivka,47.4431859,35.2803026
Kamianka-Dniprovska,47.4900938,34.4109101
Petrovske,48.29418,38.86619
Beryslav,46.83878475,33.4140041782474
Snihurivka,47.0670256,32.8016915993283
Radomyshl,50.4961812,29.2289588
Burshtyn,49.2516597,24.633877
Rakhiv,48.0556765,24.2057063
Novhorod-Siverskyi,52.004259,33.2779899
Kamianka,48.0321816,28.7042359
Tetiiv,49.3686166,29.6771098
Mykolaiv,46.9659195,32.0034948
Ostroh,50.329021,26.5203627
Zelenodolsk,47.5668051,33.6474574
Vakhrusheve,48.1499941,38.8182126
Khorol,49.7822104,33.2740646
Storozhynets,48.163016,25.7208194
